model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,precision,recall,F1-score,TP,FP,FN,average IOU,mAP
yolov2-tiny-50obj,31.89,20.06,57.97,42.62,10.27,17.42,5.71,7.74,17.43,12.3,16.86,18.02,10.67,9.42,3.81,22.85,13.31,31.46,15.78,39.05,21.38,54.14,47.17,43.28,14.39,5.39,29.88,12.74,36.95,27.37,10.65,25.22,29.32,1.47,28.63,17.2,11.13,35.01,0.08,4.25,9.93,12.69,22.48,14.06,15.15,10.71,16.67,27.16,24.35,21.07,0.24,0.31,0.27,67515.0,208969.0,150211.0,16.47,20.691699999999997
yolov3-tiny-30obj-labelfixed_65000,48.0,18.42,20.85,24.79,14.82,10.89,9.67,28.16,18.86,33.63,44.12,29.19,55.12,53.61,48.25,46.68,32.5,3.18,33.97,35.8,11.7,30.01,30.06,9.7,0.41,0.53,0.0,0.12,1.11,0.0,,,,,,,,,,,,,,,,,,,,,0.84,0.15,0.25,26779.0,5068.0,152237.0,62.53,23.1383
yolov3-tiny-30obj_95000,47.76,18.65,23.25,25.43,12.45,11.01,10.04,28.69,18.38,31.85,42.2,22.31,62.0,54.65,51.27,48.13,33.46,3.05,34.23,35.4,6.02,9.79,25.04,9.37,0.42,0.16,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,0.65,0.23,0.34,40687.0,21699.0,138329.0,46.94,22.1894
yolov3-50obj_117500,64.25,41.72,79.71,64.47,24.09,37.97,18.01,43.3,26.44,40.61,45.79,44.21,27.82,15.92,18.91,44.0,33.23,48.33,35.99,53.83,33.92,73.56,65.43,64.44,54.15,31.61,53.33,37.5,61.55,45.33,10.35,46.4,54.42,12.98,64.65,44.74,28.55,51.45,9.09,20.1,20.73,28.67,29.04,12.33,20.23,22.7,26.06,25.51,24.7,32.18,0.64,0.42,0.51,92412.0,52619.0,125314.0,48.74,38.2861
yolov3-50obj_100000,64.91,41.27,79.31,66.25,20.93,40.2,16.47,43.12,37.59,40.56,44.63,44.58,28.04,18.89,17.18,43.62,35.07,48.38,32.83,56.54,39.29,72.45,63.33,66.09,53.67,28.7,57.93,36.2,60.17,43.25,5.32,47.21,53.29,10.32,65.37,45.14,28.2,53.57,0.0,14.78,19.49,28.25,29.68,15.58,18.02,23.23,30.4,36.52,34.37,36.91,0.62,0.44,0.51,96074.0,59403.0,121652.0,46.52,38.7417
yolov3-30obj_70000,64.62,38.86,41.71,42.6,25.01,16.72,15.35,39.19,31.51,43.11,61.38,39.11,68.36,59.66,57.47,53.02,39.96,2.59,45.23,52.8,10.56,10.62,52.99,2.62,0.1,0.92,0.0,0.79,0.96,0.0,,,,,,,,,,,,,,,,,,,,,0.68,0.38,0.49,67524.0,31143.0,111492.0,53.04,30.5936
yolov3-30obj_65000,63.61,38.03,40.9,41.36,27.2,17.69,14.75,38.22,31.96,49.84,60.65,37.6,69.03,61.61,61.54,55.39,41.64,2.97,45.62,51.14,13.97,10.23,35.93,2.29,0.18,0.36,0.0,0.2,0.37,0.0,,,,,,,,,,,,,,,,,,,,,0.66,0.39,0.49,69889.0,36544.0,109127.0,50.52,30.476
yolov3-tiny-30obj-labelfixed_60000,45.97,18.36,20.69,24.09,13.5,7.49,5.69,26.62,17.58,33.27,41.81,22.36,60.14,50.86,47.34,42.33,29.21,9.99,30.39,30.2,7.39,26.25,23.37,9.74,0.32,0.25,0.0,0.09,0.5,0.0,,,,,,,,,,,,,,,,,,,,,0.73,0.21,0.33,37592.0,13811.0,141424.0,53.23,21.526699999999998
yolov3-50obj_122500,63.86,40.7,79.39,68.42,24.72,38.05,18.53,45.05,34.06,42.69,45.52,45.8,29.87,16.75,19.05,44.15,33.98,50.09,36.43,58.61,34.92,72.6,65.94,66.63,58.52,33.62,58.53,37.97,64.67,46.55,13.96,47.82,57.52,15.89,67.61,44.68,27.42,52.56,0.91,20.63,20.45,27.46,32.83,11.45,19.37,23.26,24.85,25.51,34.48,37.16,0.66,0.42,0.51,91047.0,46709.0,126679.0,50.85,39.6292
yolov3-50obj_90000,61.69,38.75,77.04,62.23,20.95,26.7,14.26,39.36,27.61,39.92,46.63,43.94,27.86,14.83,17.33,39.62,24.45,42.28,33.63,56.21,38.51,70.76,61.72,63.34,52.79,27.17,56.48,33.72,59.42,42.99,10.38,44.99,53.69,10.91,63.96,39.1,23.73,51.74,1.52,14.68,19.14,21.14,28.14,9.62,14.58,20.28,21.94,32.5,32.54,34.43,0.51,0.45,0.48,96903.0,93190.0,120823.0,38.01,36.2242
yolov3-tiny-30obj-labelfixed_100000,48.8,20.89,25.16,27.0,14.51,11.15,9.81,29.83,20.16,37.29,45.77,28.31,62.47,54.47,51.63,52.71,35.46,4.93,34.31,37.76,9.75,31.23,40.44,10.04,0.36,0.36,0.0,0.24,0.9,0.0,,,,,,,,,,,,,,,,,,,,,0.79,0.19,0.31,34745.0,9064.0,144271.0,59.12,24.8591
yolov3-tiny-30obj_65000,47.72,19.02,23.99,25.43,14.34,10.46,9.62,27.83,18.27,35.44,45.03,28.72,62.34,54.42,46.21,50.14,32.66,3.3,34.05,33.49,7.74,9.84,14.22,9.33,0.11,0.13,0.0,0.06,0.73,0.0,,,,,,,,,,,,,,,,,,,,,0.71,0.19,0.3,33337.0,13361.0,145679.0,52.54,22.1544
yolov3-30obj_90000,57.65,38.15,43.23,43.53,25.96,13.36,13.98,40.6,32.56,45.4,56.34,36.68,69.37,62.62,61.14,60.76,46.83,1.11,41.24,52.73,9.7,10.07,38.38,2.37,0.08,0.87,0.0,0.17,0.15,0.0,,,,,,,,,,,,,,,,,,,,,0.59,0.39,0.47,70672.0,48714.0,108344.0,45.35,30.1674
yolov3-tiny-30obj_90000,47.99,18.09,22.82,25.6,15.32,10.92,6.89,27.55,18.09,35.71,43.53,26.69,61.86,54.14,48.67,46.9,32.98,3.3,33.73,36.92,7.24,10.15,12.64,9.4,0.1,0.06,0.0,0.22,0.68,0.0,,,,,,,,,,,,,,,,,,,,,0.65,0.23,0.34,41535.0,22025.0,137481.0,47.43,21.9393
yolov3-tiny-30obj-labelfixed_50000,46.48,16.72,20.32,23.95,10.49,4.87,7.24,27.29,17.78,32.58,43.17,27.03,60.54,46.13,44.1,43.88,31.66,4.75,29.82,31.82,6.94,28.35,33.06,5.18,0.44,0.38,0.0,0.14,0.92,0.0,,,,,,,,,,,,,,,,,,,,,0.71,0.22,0.34,39379.0,15750.0,139637.0,51.73,21.534200000000002
